action_priority,action_reason,address,cif_code,comments,customer_status,dob,first_name,hold_amount,last_name,payment_status,product,recommended_action,risk_score
P3,Low-medium risk,"63524 Stein Bridge, New Jesus, WV 94485",gAAAAABqAaZyQRPyhMgv_gKejcy5MQ9KqWVRIIHMyCbZTstFvU32SzpfyKV5Aym-Hr9n5tZVD_xlojXuiUCIdz0qtk3SS23lSQ==,No user details found.,not_found,1958-05-24,Amanda,3272.69,Davis,paid,Home Loan,SMS_REMINDER,9.0
P3,Low-medium risk,"457 Kim Vista Suite 569, New Paulton, PA 18496",gAAAAABqAaZyl_M7dRLwuPQqUJ96UVN8HZNhm2QhXt_FyTLVr1VE1LZEVH9B5qgcwnRnOAf7gHYcSdgRPsM7TEzEQ08WWWspeg==,No user details found.,not_found,1982-09-02,Courtney,283.61,Edwards,paid,Credit Card,SMS_REMINDER,7.6
P2,Medium-high risk,"806 Martinez Orchard Apt. 695, Ewingchester, MI 34621",gAAAAABqAaZy4IgUsl4_rpMSxaFe8zOE6faK_C40LHFQxm2Gz2K0BCmXmSfrklqzCPHiH3Ge8clFJxljaIquQY880R7tA_gu8A==,No user details found.,found,1953-05-30,Christine,3668.27,Brown,unpaid,Home Loan,CALL_CENTER,90.7
P2,Medium-high risk,"2104 Brown Cove Suite 924, North Tammychester, WA 27735",gAAAAABqAaZyJfLQAYrvINyAehidksUNoGuJnIfLigoDfToDe1b1qlisAkS1xHQc-0-_kxPrX4ZKOIbJMJaBmLgEN0adSPxToA==,No user details found.,found,1962-09-27,Allen,1461.25,Dudley,unpaid,Home Loan,CALL_CENTER,89.7
P2,Medium-high risk,"PSC 5885, Box 5074, APO AP 74362",gAAAAABqAaZyExBj69fvItWy99OcEMZG8zBSN3Y2XK7_l-CNlD7hZpgDNLF8q_bFu_8LrvjjCaxZzomS-BewVvavPTIrVGTMqA==,No user details found.,found,1986-07-04,Terry,1467.02,Fry,unpaid,Home Loan,CALL_CENTER,89.7
P3,Low-medium risk,"22749 Cunningham Locks Suite 871, South Danielland, MD 09591",gAAAAABqAaZyHpG3Ghwl5kxGomBulJDEoATR8j9E-udNXIiyButCNyQabJ5w2aHNOhxOpezYXLRZMw2_5RpIKhUHYeZiLCLCBg==,No user details found.,found,2006-01-09,Tara,2392.03,Berger,paid,Credit Card,SMS_REMINDER,8.4
P2,Medium-high risk,"8358 Soto Trafficway, New Elizabethside, RI 23477",gAAAAABqAaZyOrIMmgkKwzMqJUKbVxSFh0Ng8UTlDaN7CKNR-Kt5Quz5OWGNNK7Alz8fksjF0_Eh5JDBdqHc4V5j7_MW7Ci_kg==,No user details found.,found,1964-02-18,Maurice,2009.17,Cantrell,unpaid,Credit Card,CALL_CENTER,89.7
P3,Low-medium risk,"USNS Robinson, FPO AA 89958",gAAAAABqAaZyL8EJGIzWYgEACtzOgA5qcprmV2AKra7Pp2cHhaA4dPMPS0nZOs9FzhR9f4FQyTaatYNxQL62ceJDzKzlOQoI_Q==,No user details found.,found,1946-05-15,Brian,4736.3,Mendoza,paid,Home Loan,SMS_REMINDER,9.7
P2,Medium-high risk,"47074 Evans Plaza Suite 535, North Jennifer, HI 87807",gAAAAABqAaZyI5gsqgwP8rkUlycO5jSvL8udpoqJ2Ic4G_r27INp_b73hgNJimXZDGw2s7RkM_DMIvAkIskUXLjG1gCG_YTcDQ==,No user details found.,not_found,1983-09-07,Matthew,1545.71,Chavez,unpaid,Personal Loan,CALL_CENTER,91.5
P3,Low-medium risk,"47229 Lisa Stravenue Suite 912, West Mark, AK 04020",gAAAAABqAaZy10c-iFRrmvFU3o_RVPQjSV6gaRl4IAZCzn-WsQc6ZwU8LfG3DmCCXBDvAx2EKEtzqlYu23ReuZI0IpKJxFtVJQ==,No user details found.,not_found,1988-11-27,Kirk,4706.46,Hoffman,paid,Personal Loan,SMS_REMINDER,11.7
P2,Medium-high risk,"24511 Nicole Shoals Apt. 069, New Rebecca, ME 42025",gAAAAABqAaZy2P2lXWnUPkZkVfozRedYPFEo3UX1iNOXTJQarUCyLST5NAnthrF4Gwss8W56YkCxLbrj6XbgP0_XB9KXkhnQ1A==,No user details found.,found,1958-12-27,Sarah,1858.95,Hall,unpaid,Home Loan,CALL_CENTER,89.9
P3,Low-medium risk,"5267 Justin Pine Suite 334, Josephstad, NC 15408",gAAAAABqAaZyRRZVWLFef7RtoXva6sYa6USurjmDvLLkEXjN4k8vBkmZ7a0ySJRqSV-H_OloZdS3XMtdgG9t-BLdsRvInd01ug==,No user details found.,not_found,1961-01-13,Marc,1976.12,Luna,paid,Home Loan,SMS_REMINDER,8.5
P3,Low-medium risk,"39751 Bailey Dam Suite 622, Jonesmouth, IA 81776",gAAAAABqAaZyczDun1O8n-eUllwnn3cnmaqzww9JN29YC6qoi7s9HMnTJOlBHEm1x_vEunG2wLt6fr87B2oGq_YPWG5fWUDP_Q==,No user details found.,found,1962-06-11,Brandon,4685.06,Green,paid,Home Loan,SMS_REMINDER,9.7
P2,Medium-high risk,"7567 Linda Mill Suite 903, Mariahside, ID 57843",gAAAAABqAaZyoLBDyG1s8ij69QCDNwLnkVvfU9A-d3d90ThrQ-ZT29Bp_QYmOsY9y_nYp3jxlT8S-Fv5DLsItegBmT3hQWbCZQ==,No user details found.,not_found,2004-03-03,Diane,3753.86,Banks,unpaid,Home Loan,CALL_CENTER,90.8
P3,Low-medium risk,"855 Caleb Fork Suite 404, North Christopher, AZ 64770",gAAAAABqAaZy0Ob5VK52_26cSTlrxzyb1TTRj4SClQvlrYn3hX5DuU052cHJ5NM6683YmjN6AXPRTS7Nc9A-zWfRBSUJZsyMxg==,No user details found.,found,1978-01-29,Susan,3721.59,Phillips,paid,Home Loan,SMS_REMINDER,9.2
P3,Low-medium risk,"863 Barnes Junction, West Robertberg, DC 37135",gAAAAABqAaZycVb-NTAYPzm0zfoVh_zy_Dsezwlv_Y39t7TKse4CDkuenKkfRpdIBKqF5jw3ps_5kw85Te9fj5z5q5nD6OA4vw==,No user details found.,not_found,1984-01-28,Monique,4634.01,Munoz,paid,Credit Card,SMS_REMINDER,9.4
P3,Low-medium risk,"610 Melody Bridge, South Michael, TX 15041",gAAAAABqAaZy0zo-GdOS_Wr0sWwlziTsja5R9LIfGtAZwafMgxZn1fRxibpPjQJO5VDJnrx4sU18nBadXr0jQHiU_KQ6-9AsTA==,No user details found.,not_found,1952-12-22,Alan,3064.54,Roberts,paid,Credit Card,SMS_REMINDER,8.7
P2,Medium-high risk,"50303 Julia Inlet Apt. 944, Davidmouth, MD 42830",gAAAAABqAaZyhCPivs9r87fzFScqggYPztvriUKMi98JjkBVv6VkpMORf0WurCaDPz91ShtSwu4saWhecuS-DUibmfYMpF44Mg==,No user details found.,not_found,1987-08-09,Jacob,1765.83,Johnson,unpaid,Home Loan,CALL_CENTER,89.9
P3,Low-medium risk,"17973 Dale Dam, New Tiffanyfurt, IN 80438",gAAAAABqAaZydv1mYT2j2DomuVqGLUPyKulBQu3IziO07QljWckFc2ShW5Kudwy_yyMWXOq5Tz1l78w8WsWTi-8vnl00zfjs7Q==,No user details found.,found,1970-01-02,Vickie,3009.35,Perez,paid,Home Loan,SMS_REMINDER,8.9
P3,Low-medium risk,"297 Anthony Pine, Bradychester, MD 02953",gAAAAABqAaZyONQB3txrIIlS6_yNq0tS1yWpFrQ0UKbGuBqRdceAa-_wCcXjO_vw4UXra5KdUsuga9keFIG2uepF9vYWHKGUbw==,No user details found.,not_found,1952-08-21,Christopher,1509.72,Greene,paid,Home Loan,SMS_REMINDER,8.3
P3,Low-medium risk,"28249 Madison Mountain, Mcfarlandberg, TX 88939",gAAAAABqAaZyhTPtrVFVGByui7sphQ6ER-mPXL5Fjt_pUzrw8SR-N14m7sWtpqIGOx0KMWPe_aWtSCeabUImPRspaQ7dLQz61Q==,No user details found.,not_found,1997-09-01,Veronica,3273.34,Nguyen,paid,Credit Card,SMS_REMINDER,8.8
P2,Medium-high risk,"USNS Mclaughlin, FPO AA 96773",gAAAAABqAaZybvGEaPMOVAgnWU3q3PoPguFgD8V76dWreXAyo1qw5gR3lBAiUqRfX25BGkF_Z4ozClUcwg-7l7DckFgjOqixmA==,No user details found.,not_found,2001-12-16,Matthew,3129.41,Miller,unpaid,Personal Loan,CALL_CENTER,92.2
P2,Medium-high risk,"Unit 9086 Box 8943, DPO AE 57871",gAAAAABqAaZyINLz2FaMkhp5DK1N9HJszHKN1YJKIUWusqoIZnWXndpm6xfviBJkQM0yqtpIk3JdmEMDFzrNkUGKaif_icaN3g==,No user details found.,found,1948-08-31,Amy,4803.69,Johnson,unpaid,Home Loan,CALL_CENTER,91.2
P3,Low-medium risk,"388 Tina Views Suite 946, West Michaelshire, LA 20397",gAAAAABqAaZyQbRSHwv4AC4ysALQSjAvbG1caLwf-ebWlNeGu4yJcC7H9jFVJPj81HzM4lbj-IWMduIj5HzecGHzvVEoWvJUdA==,No user details found.,found,1962-01-18,Benjamin,2376.08,Lee,paid,Credit Card,SMS_REMINDER,8.4
P2,Medium-high risk,"7354 Rebecca Trail Suite 572, South Mariaside, ID 43433",gAAAAABqAaZySftrioYiAgPn5GqmAlpe05csmLYlmV9T121-r964f-IbCowb2xiH79DLdrsGj0ZkSEsq1v_BcVRta3Lhj9CVsw==,No user details found.,found,1999-02-02,Sarah,539.67,Walters,unpaid,Personal Loan,CALL_CENTER,91.1
P3,Low-medium risk,"498 Andrew Way, East Jennifer, NH 95638",gAAAAABqAaZyZtWgUioRa0idjNjkkW_wwCWcnvCVtJ5QOntbkkRd_QTUaIm8y_V7W4d4uZccMWzQ3CNGxaoDdu3VeAqAp-dXWw==,No user details found.,not_found,1988-07-17,Sonia,2894.25,George,paid,Home Loan,SMS_REMINDER,8.9
